Paper_ID,Study_ID,Comparison_ID,Authors,N,Title,Year,DOI,SR_Source,Log_Source,Log_Collection_category,medium,Source_Type,Population_Type,Sampling_Category,SR_PROB_Label,Use_Form_Recorded,Use_Measurement_Produced,Logging_Duration,Correlation_rs,Correlation_r,sr_outcome_type,SR_Form,SR_Mean,SR_SD,Log_Mean,Log_SD,Measure_Type,Design,plot_digitised,Comment,use.cor.analysis,prob.cor.analysis,under.over.analysis,effect_ID,use_measurement,slab,yi,vi
P37,P37S2,C7,Shaw et al.,199,Subjective reports overstate the relationship between screen time and mental health,Unpublished,NA,Estimated daily screen time,iOS Screen Time,built_in,Phone,Unpublished,adults,data_donation,NA,screen time (in minutes),average daily use time,7 days,0.5540963,0.5721,USE,SINGLE,4.38,2.15,4.62,2.3,Duration,correlational,N,used data received directly from the authors,Y,N,Y,P37S2C7,average daily use time,"Shaw et al., Unpublished (n = 199)",0.6506390303873486,0.00510204081632653
P37,P37S2,C8,Shaw et al.,199,Subjective reports overstate the relationship between screen time and mental health,Unpublished,NA,Estimated daily pickups,iOS Screen Time,built_in,Phone,Unpublished,adults,data_donation,NA,number of smartphone unlocks,average daily pickups,7 days,0.2664722,0.2781,USE,SINGLE,47.14,39.81,85.76,39.94,Volume,correlational,N,used data received directly from the authors,Y,N,Y,P37S2C8,average daily pickups,"Shaw et al., Unpublished (n = 199)",0.2856216269962767,0.00510204081632653
P40,P40S1,C1,Shum et al.,60,An Evaluation of Self-reported mobile phone use compared to billing records among a group of engineers and scientists,2011,10.1002/bem.20613,Estimate of total call duration,Billing records,operator,Phone,Published,adults,supplied_data,NA,call duration,average daily duration,1 year,NA,0.59,USE,SINGLE,15.7,9.16,12.7,13.7,Duration,correlational,N,NA,Y,N,Y,P40S1C1,average daily duration,"Shum et al., 2011 (n = 60)",0.6776660677579618,0.017543859649122806
P40,P40S1,C2,Shum et al.,60,An Evaluation of Self-reported mobile phone use compared to billing records among a group of engineers and scientists,2011,10.1002/bem.20613,Estimate of total call number,Billing records,operator,Phone,Published,adults,supplied_data,NA,call count,average daily call count,1 year,NA,0.55,USE,SINGLE,7.4,5.84,4.6,3.13,Volume,correlational,N,NA,Y,N,Y,P40S1C2,average daily call count,"Shum et al., 2011 (n = 60)",0.6183813135744636,0.017543859649122806
P41,P41S1,C1,Singh & Jain,47,Toward harmonising self-reported and logged social data for understanding human behaviour,2017,http://dx.doi.org/10.1145/3025453.3025856,Estimated number of calls previous week,call meta-data,operator,Phone,Published,adults,supplied_data,NA,number of calls last week,number of calls last week,10 weeks,NA,0.69,USE,SINGLE,NA,NA,NA,NA,Volume,correlational,N,"can do cor analysis with what is reported, but need descriptives for second meta. Included last week results",Y,N,N,P41S1C1,number of calls last week,"Singh & Jain, 2017 (n = 47)",0.8479557552189635,0.022727272727272728
P42,P42S1,C1,Timotijevic et al.,159,"Factors Influencing Self-Report of Mobile Phone Use: the Role of Response Prompt, Time Reference and Mobile Phone Use in Recall",2009,10.1002/acp.1496,Estimate of outgoing call count,Billing records,operator,Phone,Published,adults,supplied_data,NA,outgoing call count,total daily outgoing call count,previous month billing record,NA,0.269,USE,SINGLE,11.39,11.437,14.85,18.755,Volume,correlational,N,NA,Y,N,Y,P42S1C1,total daily outgoing call count,"Timotijevic et al., 2009 (n = 159)",0.2757855039823046,0.00641025641025641
P42,P42S1,C2,Timotijevic et al.,173,"Factors Influencing Self-Report of Mobile Phone Use: the Role of Response Prompt, Time Reference and Mobile Phone Use in Recall",2009,10.1002/acp.1496,Estimate of outgoing call duration,Billing records,operator,Phone,Published,adults,supplied_data,NA,outgoing call duration,total daily outgoing call duration,previous month billing record,NA,0.294,USE,SINGLE,2154.12,3182.373,1461.33,2233.492,Duration,correlational,N,NA,Y,N,Y,P42S1C2,total daily outgoing call duration,"Timotijevic et al., 2009 (n = 173)",0.3029391187838019,0.0058823529411764705
P43,P43S1,C1,Tokala et al.,70,Reducing overestimation in reported mobile phone use associated with epidemiological studies,2008,10.1002/bem.20424,Estimated monthly call duration,Telco log data,operator,Phone,Published,unknown,supplied_data,NA,call duration,monthly call duration,3 months,NA,0.69,USE,SINGLE,790,889,411,371,Duration,correlational,N,NA,Y,N,Y,P43S1C1,monthly call duration,"Tokala et al., 2008 (n = 70)",0.8479557552189635,0.014925373134328358
P44,P44S1,C1,van Berkel et al.,20,Effect of experience sampling schedules on response rate and recall accuracy of objective self reports,2018,https://doi.org/10.1016/j.ijhcs.2018.12.002,Estimated screen time,Custom App,custom_built_for_research,Phone,Published,adults,direct_tracking,NA,usage duration,usage duration,3 weeks,0.507,0.5247,USE,SINGLE,13.93,17.64,22.5,27.68,Duration,experience sampling methodology,N,Descriptive statistics supplied directly by author (also confirmed the discrepency and missing value in the final published version vs. the preprint (preprint is correct) the correlation is .507,Y,N,Y,P44S1C1,usage duration,"van Berkel et al., 2018 (n = 20)",0.5828033823789489,0.058823529411764705
P45,P45S1,C1,Vanden Abeele et al.,466,"Measuring mobile phone use: Gender, age and real usage level in relation to the accuracy and validity of self-reported mobile phone use",2013,https://doi.org/10.1177%2F2050157913477095,Estimate of weekly number of calls,Telco log data,operator,Phone,Published,adults,supplied_data,NA,number of calls,weekly number of calls,1 month,NA,0.42,USE,SINGLE,88.84,153.26,20.47,19.52,Volume,correlational,N,Report weekday  weekend and total weekly. Have selected weekly,Y,N,Y,P45S1C1,weekly number of calls,"Vanden Abeele et al., 2013 (n = 466)",0.44769202352742066,0.0021598272138228943
P45,P45S1,C2,Vanden Abeele et al.,466,"Measuring mobile phone use: Gender, age and real usage level in relation to the accuracy and validity of self-reported mobile phone use",2013,https://doi.org/10.1177%2F2050157913477095,Estimate of weekly call duration,Telco log data,operator,Phone,Published,adults,supplied_data,NA,call duration,weekly call duration,1 month,NA,0.5,USE,SINGLE,133.47,166.29,41.99,49.11,Duration,correlational,N,Report weekday  weekend and total weekly. Have selected weekly,Y,N,Y,P45S1C2,weekly call duration,"Vanden Abeele et al., 2013 (n = 466)",0.5493061443340549,0.0021598272138228943
P45,P45S1,C3,Vanden Abeele et al.,466,"Measuring mobile phone use: Gender, age and real usage level in relation to the accuracy and validity of self-reported mobile phone use",2013,https://doi.org/10.1177%2F2050157913477095,Estimate of weekly number of texts,Telco log data,operator,Phone,Published,adults,supplied_data,NA,number of texts,weekly number of texts,1 month,NA,0.57,USE,SINGLE,97.83,139.32,121.17,153.76,Volume,correlational,N,Report weekday  weekend and total weekly. Have selected weekly,Y,N,Y,P45S1C3,weekly number of texts,"Vanden Abeele et al., 2013 (n = 466)",0.6475228448273728,0.0021598272138228943
P46,P46S1,C1,Wilmer et al.,56,"Wired to be connected? Links between mobile technology engagement, intertemporal preference and frontostriatal white matter connectivity",2019,10.1093/scan/nsz024,Mobile technology engagement scale,ios Battery Logs,built_in,Phone,Published,student,data_donation,NA,app usage duration,total weekly use time,7 days,NA,0.33,USE,SCALE,NA,NA,NA,NA,Duration,correlational,N,NA,Y,N,N,P46S1C1,total weekly use time,"Wilmer et al., 2019 (n = 56)",0.34282825441539394,0.018867924528301886
P47,P47S1,C1,Yuan et al.,38,How much do parents actually use their smartphones? Pilot study comparing self-report to passive sensing,2019,https://doi.org/10.1038/s41390-019-0452-2,Estimate of screen time for yesterday,Moment/Minuku,third_party,Phone,Published,adults,direct_tracking,NA,app usage duration,average daily duration,14 days,NA,0.2816,USE,SINGLE,NA,NA,NA,NA,Duration,correlational,N,data points received directly from autho,Y,N,N,P47S1C1,average daily duration,"Yuan et al., 2019 (n = 38)",0.28941902966305255,0.02857142857142857
P47,P47S1,C2,Yuan et al.,50,How much do parents actually use their smartphones? Pilot study comparing self-report to passive sensing,2019,https://doi.org/10.1038/s41390-019-0452-2,Estimated daily pickups,Moment/Minuku,third_party,Phone,Published,adults,direct_tracking,NA,screen activations,average daily pickups,14 days,NA,0.3992,USE,SINGLE,NA,NA,NA,NA,Volume,correlational,N,data points received directly from autho,Y,N,N,P47S1C2,average daily pickups,"Yuan et al., 2019 (n = 50)",0.4226969116272337,0.02127659574468085
